name
Salmon pink bird eater tarantula
Common ringtail
Common boubou shrike
"Loris, slender"
White-throated toucan
"Starling, superb"
"Grenadier, purple"
"Swan, trumpeter"
Eurasian beaver
"Trumpeter, dark-winged"
"Wombat, common"
Green heron
Eurasian hoopoe
Hyrax
Black-eyed bulbul
Woylie
"Dragonfly, russian"
Javanese cormorant
Antelope ground squirrel
"Bat, madagascar fruit"
"Chickadee, black-capped"
Bonnet macaque
Gray duiker
Comb duck
"Zorro, common"
Arboral spiny rat
White-lipped peccary
"Cobra, cape"
"Gecko, bent-toed"
"Cobra, egyptian"
"Armadillo, common long-nosed"
African polecat
Waved albatross
Ocelot
Cheetah
"Macaque, pig-tailed"
"Dove, little brown"
"Blackbird, red-winged"
"Antechinus, brown"
"Phalarope, grey"
White rhinoceros
Canadian tiger swallowtail butterfly
"Falcon, prairie"
White-fronted bee-eater
"Dolphin, striped"
Great skua
Elegant crested tinamou
Red-tailed phascogale
Ring dove
"Flamingo, greater"
Common dolphin
"Racer, american"
Sarus crane
"Bustard, kori"
Rufous tree pie
Ring-tailed lemur
"Squirrel, malabar"
"Dog, african wild"
"Bee-eater, nubian"
"Goose, knob-nosed"
Swallow-tail gull
"Rattlesnake, horned"
"Partridge, coqui"
"Bat, asian false vampire"
"Constrictor, eastern boa"
Yellow-headed caracara
"Lemming, collared"
Sally lightfoot crab
Barasingha deer
"Hyena, spotted"
Bobcat
"Monkey, vervet"
Andean goose
"Capuchin, brown"
"Whale, baleen"
"Stork, woolly-necked"
"Rattlesnake, horned"
Bald eagle
"Otter, cape clawless"
Beisa oryx
Japanese macaque
"Goose, greylag"
Black bear
African jacana
"Raven, white-necked"
Antelope ground squirrel
"Insect, stick"
African porcupine
Sugar glider
"Goose, knob-nosed"
"Booby, blue-footed"
"Wallaby, river"
Eurasian beaver
"Lion, australian sea"
Gambel's quail
Marine iguana
Palm squirrel
"Lizard, mexican beaded"
"Sheathbill, snowy"
"Shelduck, european"
African porcupine
Lappet-faced vulture
"Squirrel, red"
African lion
Meerkat
Red-headed woodpecker
Raccoon dog
White-fronted bee-eater
"Mongoose, banded"
Mourning collared dove
African lynx
Sugar glider
Four-striped grass mouse
White-necked stork
Red-necked phalarope
"Marmot, hoary"
Galah
"Dragon, netted rock"
Lily trotter
"Raccoon, crab-eating"
White-browed owl
Yellow-headed caracara
Ring-tailed possum
"Otter, canadian river"
"Stork, greater adjutant"
"Bear, polar"
Magellanic penguin
Marine iguana
Common langur
Euro wallaby
Nubian bee-eater
"Bear, american black"
Mexican boa
Red brocket
"Eagle, tawny"
Chimpanzee
"Wallaroo, common"
"Bunting, crested"
"Lion, southern sea"
Tyrant flycatcher
Griffon vulture
"Cat, tiger"
Asian false vampire bat
"Moccasin, water"
"Lemur, sportive"
Mule deer
Steller sea lion
"Lemur, sportive"
"Robin, kalahari scrub"
Long-billed corella
Golden brush-tailed possum
Pine siskin
Jungle cat
"Dolphin, common"
"Rabbit, eastern cottontail"
Mountain duck
"Bustard, stanley"
Huron
"Zebra, plains"
Eurasian red squirrel
"Capuchin, weeper"
"Jackal, golden"
"Crow, pied"
"Cat, ringtail"
Long-tailed spotted cat
"Cormorant, flightless"
"Genet, small-spotted"
"Capuchin, black-capped"
Gray heron
"Deer, savannah"
Blackish oystercatcher
"Tortoise, burmese brown mountain"
"Leopard, indian"
Tokay gecko
"Deer, mule"
"Egret, great"
Western palm tanager (unidentified)
Jaguar
Common grenadier
"Bee-eater, white-fronted"
Red-knobbed coot
Rufous tree pie
Lappet-faced vulture
"Pelican, brown"
Canada goose
"Cobra, cape"
Honey badger
"Bear, american black"
Southern boubou
Bleeding heart monkey
Giant heron
Kalahari scrub robin
"Wambenger, red-tailed"
Little blue penguin
Fringe-eared oryx
European badger
Leopard
"Capuchin, black-capped"
Black-capped chickadee
Black and white colobus
Caracara (unidentified)
"Phalarope, red-necked"
"Dragon, asian water"
Cougar
"Cockatoo, roseate"
"Baboon, gelada"
"Lynx, african"
"Weaver, sociable"
"Dove, emerald-spotted wood"
Common waterbuck
Cook's tree boa
Leadbeateri's ground hornbill
Cape raven
Bat-eared fox
Vine snake (unidentified)
Glossy starling (unidentified)
"Barbet, crested"
Banded mongoose
"Snake, tiger"
Red lava crab
Australian sea lion
"Rattlesnake, eastern diamondback"
"Peccary, white-lipped"
Yellow-bellied marmot
Brown capuchin
Galapagos mockingbird
"Capuchin, weeper"
"Dog, bush"
Azara's zorro
Sidewinder
"Owl, white-browed"
Smith's bush squirrel
Red brocket
Red-tailed cockatoo
Eurasian badger
Gray duiker
Tiger cat
Bushbuck
"Mynah, common"
Groundhog
Black-throated butcher bird
"Dragon, netted rock"
"Coatimundi, ring-tailed"
"Mynah, indian"
Laughing dove
"Monitor, two-banded"
"Roadrunner, greater"
"Cockatoo, slender-billed"
Eurasian beaver
"Buffalo, wild water"
"Mongoose, eastern dwarf"
"Wallaby, agile"
"Squirrel, indian giant"
Netted rock dragon
"Eagle, long-crested hawk"
Snowy egret
Desert kangaroo rat
"Bandicoot, short-nosed"
Southern boubou
Moose
"Fox, cape"
"Snake, racer"
Meerkat
Dingo
Swamp deer
Saddle-billed stork
"Tapir, brazilian"
"Cow, scottish highland"
"Racer, blue"
"Badger, eurasian"
Trumpeter swan
Red deer
Woodrat (unidentified)
"Deer, savannah"
"Stork, greater adjutant"
"Rhinoceros, white"
Swallow-tail gull
"Constrictor, eastern boa"
Nelson ground squirrel
Tasmanian devil
Eleven-banded armadillo (unidentified)
"Cobra, cape"
Coke's hartebeest
"Cockatoo, slender-billed"
"Lion, steller sea"
"Monster, gila"
White-mantled colobus
Tree porcupine
"Goose, cape barren"
Coyote
"Cockatoo, long-billed"
"Vulture, oriental white-backed"
Common mynah
"Stork, painted"
Savanna baboon
Blue-footed booby
Roseat flamingo
Genoveva
Saddle-billed stork
"Hornbill, yellow-billed"
Uinta ground squirrel
"Duck, mountain"
"Crane, sarus"
"Eagle, white-bellied sea"
"Grouse, greater sage"
"Goose, cereopsis"
Short-nosed bandicoot
Clark's nutcracker
Water monitor
Black-capped capuchin
Civet (unidentified)
"Leopard, indian"
Ground legaan
Helmeted guinea fowl
Spotted wood sandpiper
Beisa oryx
"Wallaby, agile"
"Wallaroo, common"
Campo flicker
Sulfur-crested cockatoo
White spoonbill
Common turkey
"Tenrec, tailless"
African buffalo
"Baboon, yellow"
Campo flicker
Common palm civet
African snake (unidentified)
"Duck, white-faced whistling"
"Lynx, african"
"Wagtail, african pied"
"Bustard, stanley"
Swamp deer
"Deer, mule"
"Loris, slender"
"Hartebeest, coke's"
"Bee-eater, white-fronted"
Cape cobra
Eastern box turtle
African pied wagtail
Three-banded plover
Striped skunk
Fork-tailed drongo
Asian red fox
"Wallaby, dama"
"Genet, common"
Black curlew
African red-eyed bulbul
"Duiker, common"
"Dragon, frilled"
Red-breasted cockatoo
Blue-tongued skink
"Owl, snowy"
Bottle-nose dolphin
Lesser double-collared sunbird
Red-tailed wambenger
Bird (unidentified)
Cheetah
"Squirrel, richardson's ground"
Red-tailed cockatoo
"Stork, painted"
White-winged tern
Feathertail glider
"Stork, white"
"Cockatoo, red-tailed"
"Avocet, pied"
Black-winged stilt
"Snake, western patch-nosed"
European beaver
Eastern indigo snake
"Seal, northern elephant"
Brown and yellow marshbird
"Lemur, lesser mouse"
Black swan
Red-cheeked cordon bleu
"Ass, asiatic wild"
"Tamandua, southern"
"Seal, harbor"
Pampa gray fox
"Lemur, grey mouse"
Ground monitor (unidentified)
"Kangaroo, black-faced"
Stick insect
Salmon pink bird eater tarantula
Crimson-breasted shrike
Malleefowl
"Waterbuck, defassa"
Dama wallaby
"Hornbill, southern ground"
"Pheasant, ring-necked"
Cottonmouth
Cape white-eye
"Antelope, four-horned"
"Monitor, white-throated"
"Stilt, black-winged"
American buffalo
Roseat flamingo
Woodchuck
"Vulture, white-rumped"
Canada goose
Brazilian otter
"Hawk-eagle, crowned"
"Mouse, four-striped grass"
Bobcat
"Otter, giant"
"Shrike, southern white-crowned"
Sockeye salmon
Hoary marmot
"Civet, small-toothed palm"
Blackish oystercatcher
Paradoxure
White-throated monitor
"Eagle, bald"
Grey mouse lemur
Wattled crane
"Siskin, pine"
"Bulbul, black-eyed"
"Vulture, white-rumped"
"Fowl, helmeted guinea"
"Woodcock, american"
White-throated robin
"Goldeneye, common"
Red-tailed wambenger
"Heron, black-crowned night"
Argalis
Southern sea lion
"Tenrec, tailless"
"Seal, common"
"Cliffchat, mocking"
"Badger, american"
"Langur, gray"
Southern tamandua
"Sandgrouse, yellow-throated"
"Lynx, african"
Bengal vulture
"Badger, honey"
"Cockatoo, long-billed"
Javanese cormorant
Gray heron
Springbok
"Vulture, oriental white-backed"
Salmon pink bird eater tarantula
White-nosed coatimundi
"Fox, bat-eared"
Scaly-breasted lorikeet
"Dove, ring"
"Rattlesnake, dusky"
"Blackbird, red-winged"
"Deer, white-tailed"
"Sunbird, lesser double-collared"
Southern lapwing
Ring-tailed gecko
"Heron, striated"
"Weaver, red-billed buffalo"
Tiger snake
Egyptian viper
Pied crow
"Langur, hanuman"
"Toucan, white-throated"
Western spotted skunk
"Legaan, Monitor (unidentified)"
"Roadrunner, greater"
"Otter, north american river"
"Goldeneye, barrows"
"Phalarope, northern"
Secretary bird
Eastern dwarf mongoose
Savanna fox
Mountain goat
Columbian rainbow boa
"Capuchin, black-capped"
Water moccasin
European badger
Two-toed sloth
American alligator
"Wildebeest, blue"
"Ox, musk"
"Hartebeest, coke's"
Darwin ground finch (unidentified)
"Pie, rufous tree"
Cape clawless otter
"Pie, indian tree"
Saddle-billed stork
Malagasy ground boa
Common long-nosed armadillo
"Parakeet, rose-ringed"
"Cat, jungle"
"Woodcock, american"
Long-finned pilot whale
"Barbet, black-collared"
Western patch-nosed snake
"Turtle, long-necked"
Suricate
Lapwing (unidentified)
"Iguana, common green"
White spoonbill
Rhesus macaque
"Kite, black"
"Baboon, savanna"
Swamp deer
"Jackal, indian"
"Rhea, common"
"Kookaburra, laughing"
"Otter, african clawless"
Brown brocket
Koala
Black-fronted bulbul
Common dolphin
"Shelduck, common"
Bee-eater (unidentified)
Eastern diamondback rattlesnake
Cattle egret
"Kingfisher, pied"
"Cobra, cape"
Grizzly bear
"Admiral, indian red"
Leopard
Desert kangaroo rat
"Woodcock, american"
Secretary bird
Striped skunk
"Quail, gambel's"
"Bustard, kori"
Cape starling
"Heron, striated"
"Phalarope, red-necked"
Grey lourie
"Eland, common"
Desert tortoise
Honey badger
"Lion, australian sea"
Bateleur eagle
"Snake, carpet"
Pocket gopher (unidentified)
Mocking cliffchat
Cape starling
Bengal vulture
"Eagle, bald"
"Baboon, yellow"
"Dove, emerald-spotted wood"
"Goose, greylag"
"Bird, bare-faced go away"
"Jackal, indian"
Campo flicker
"Zebra, common"
"Squirrel, indian giant"
"Hawk, red-tailed"
Red-billed tropic bird
"Kookaburra, laughing"
"Stork, yellow-billed"
Horned puffin
Grizzly bear
"Marten, american"
European wild cat
Gambel's quail
"Possum, golden brush-tailed"
"Phalarope, northern"
Kaffir cat
Groundhog
Small-spotted genet
Gelada baboon
Burmese brown mountain tortoise
Gray rhea
Eastern grey kangaroo
"Wambenger, red-tailed"
"Falcon, peregrine"
Eurasian beaver
"Moccasin, water"
Long-crested hawk eagle
"Wildebeest, blue"
Indian porcupine
White-headed vulture
Little blue penguin
Collared peccary
"Kangaroo, red"
"Seal, harbor"
Uinta ground squirrel
Red-tailed cockatoo
Frog (unidentified)
California sea lion
African lion
Oriental short-clawed otter
"Alligator, american"
"Lemming, arctic"
"Dolphin, striped"
"Fox, bat-eared"
Yellow-rumped siskin
North American beaver
"Phalarope, grey"
African lynx
"Deer, savannah"
Blue peacock
Silver-backed jackal
Cuis
"Squirrel, grey-footed"
"Kangaroo, red"
Brush-tailed rat kangaroo
"Quoll, eastern"
"Avocet, pied"
Indian red admiral
"Starfish, crown of thorns"
"Whale, southern right"
Thomson's gazelle
Pampa gray fox
"Dove, galapagos"
Tokay gecko
Brush-tailed phascogale
"Marshbird, brown and yellow"
Denham's bustard
Asian foreset tortoise
"Goose, egyptian"
"White-eye, cape"
"Dove, rock"
Cheetah
Southern white-crowned shrike
"Alligator, american"
"Robin, kalahari scrub"
"Buffalo, asian water"
Civet (unidentified)
Ring-tailed lemur
Tiger
"Langur, hanuman"
Ibex
Common mynah
"Lory, rainbow"
Gerbil (unidentified)
Aardwolf
Black-throated cardinal
Indian tree pie
"Snake, eastern indigo"
Frilled lizard
"Bird, secretary"
"Rhea, common"
"Hornbill, southern ground"
"Glider, feathertail"
Wild water buffalo
Jungle kangaroo
"Baboon, olive"
"Skunk, striped"
Common boubou shrike
Mountain goat
Collared lizard
"Baboon, olive"
"Capuchin, black-capped"
Rhesus macaque
Sally lightfoot crab
Bee-eater (unidentified)
"Dolphin, bottle-nose"
Tawny frogmouth
"Lion, steller's sea"
"Bustard, denham's"
Pygmy possum
"Iguana, land"
"Lemming, arctic"
European wild cat
Eastern fox squirrel
"Lion, mountain"
Desert spiny lizard
Weeper capuchin
"Macaw, blue and yellow"
Cape wild cat
Capybara
Hottentot teal
"Squirrel, red"
"Dunnart, fat-tailed"
"White-eye, cape"
Grey-footed squirrel
Blue crane
White-throated monitor
"Kangaroo, eastern grey"
"Tortoise, asian foreset"
Common palm civet
Tarantula
European badger
"Oystercatcher, blackish"
Swallow (unidentified)
Coqui partridge
White-throated monitor
"Owl, great horned"
Springbuck
"Macaw, scarlet"
"Weaver, red-billed buffalo"
Brush-tailed rat kangaroo
Eleven-banded armadillo (unidentified)
"Gecko, barking"
"Godwit, hudsonian"
"Bat, madagascar fruit"
Lesser masked weaver
Arctic ground squirrel
"Cormorant, great"
Goliath heron
Springhare
Sulfur-crested cockatoo
Common nighthawk
Mudskipper (unidentified)
"Spoonbill, white"
Galapagos mockingbird
"Lory, rainbow"
"Coot, red-knobbed"
"Magpie, australian"
"Screamer, southern"
"Starling, red-shouldered glossy"
Coke's hartebeest
Python (unidentified)
"Cormorant, king"
Burmese black mountain tortoise
Common goldeneye
Gerbil (unidentified)
"Lion, asian"
Crowned hawk-eagle
Red-billed tropic bird
Long-tailed skua
"Puffin, horned"
"Lizard, giant girdled"
"Pademelon, red-legged"
"Snake, racer"
Caracara (unidentified)
"Darter, african"
"Gull, herring"
King cormorant
Southern brown bandicoot
"Godwit, hudsonian"
"Peccary, white-lipped"
Currasow (unidentified)
Roan antelope
Yellow-billed hornbill
"Shrike, common boubou"
Common shelduck
"Iguana, common green"
"Devil, tasmanian"
Sloth bear
Blue duck
