habit,login,location,time
3,cdeplacido1c,Kysyl-Syr,1:52 AM
2,jlutwyche1d,San Ignacio de Tupile,1:03 PM
1,rklossmann1e,Xuanhua,7:49 AM
1,dlearned1f,Lajeado,7:46 AM
1,dconnor1g,Myasnikyan,8:08 AM
3,mbisiker1h,Tegarenkrajan,7:03 AM
2,ccomelli1i,Maribong,9:47 PM
4,wnovotni1j,Rio Piracicaba,10:55 AM
1,trobken1k,Francisco Villa,6:03 AM
4,clinay1l,Agat Village,6:41 AM
3,lmannie1m,Primorsko-Akhtarsk,3:46 AM
1,jpavlik1n,Zborište,4:19 AM
2,jmanders1o,Bicos,8:02 PM
1,slibero1p,Pasirjengkol,10:20 AM
3,mofogerty1q,Sunagawa,7:29 AM
4,rgencke1r,Kampungtengah,1:05 AM
1,hanthoin1s,Sovetskiy,3:48 PM
3,iarnaut1t,Passo Fundo,4:36 AM
3,pgruszka1u,Laoxingchang,8:28 AM
4,lsalazar1v,Tangwu,1:53 AM
2,sslinn1w,Novotroitsk,11:09 AM
3,epays1x,Beixin,12:14 AM
4,gwestlake1y,Checun,1:07 AM
2,cbarts1z,Kurunegala,6:11 AM
1,osommerled20,Okunoya,1:36 AM
3,wphythian21,Saḩab,3:40 AM
1,zmembry22,Hrvatska Kostajnica,5:52 PM
1,ekenningley23,Jiefu,10:43 PM
4,atomadoni24,Taber,8:55 PM
4,ageikie25,Majie,11:05 PM
3,eselborne26,Fuwah,4:18 AM
3,rduns27,Albanel,6:28 AM
4,nmaxwell28,Melong,4:36 AM
2,sbuey29,Mueang Nonthaburi,5:24 AM
1,freece2a,Beaverlodge,4:13 PM
2,hgellately2b,Placencia,9:08 PM
2,aradeliffe2c,Beaverlodge,9:50 PM
2,sthom2d,Umm as Sāhik,6:29 PM
1,aryley2e,Constanza,8:04 PM
3,fimlaw2f,Jianggezhuang,7:55 PM
1,rwellan2g,Guapimirim,6:19 AM
1,nsherr2h,Río Blanquito,4:11 AM
3,rmonnelly2i,Alcorriol,9:04 PM
4,sflecknoe2j,Bodĭ,4:07 PM
2,cdodgshon2k,Laguna de Perlas,7:35 PM
4,torgan2l,Samacá,11:28 PM
1,thandling2m,Wesoła,5:54 PM
2,athomasset2n,Chaoyang,3:55 AM
2,chubber2o,Jing’an,9:21 AM
2,mheams2p,Kozhva,10:29 PM
3,dboriston2q,Yefimovskiy,12:40 AM
2,mpeacham2r,Postojna,2:04 AM
1,kwalklett2s,Honglin,7:21 PM
4,askayman2t,Dongping,8:56 PM
2,sdurram2u,Daxin,7:38 AM
4,hde2v,Ceranów,2:04 AM
3,foleszczak2w,Quetigny,11:08 AM
2,ltippell2x,Ymittos,11:40 PM
2,mbompass2y,Fu’an,8:44 PM
4,ewillson2z,Khāndbāri,11:05 AM
3,jjiles30,Shouchun,7:51 AM
4,bsinkinson31,Hroznětín,3:11 PM
3,marthan32,Perpignan,3:13 AM
3,bbiddiss33,Novi Vinodolski,4:08 AM
1,eidwal34,Doblas,6:54 AM
1,asmiley35,Goght’,7:55 AM
2,rfosdick36,Guiniculalay,8:12 PM
3,bdewett37,Isiro,1:08 PM
4,ehearst38,Kasturi,11:40 AM
3,bgeorgiev39,Kumo,7:22 PM
4,acrook3a,Pokhvistnevo,9:25 PM
4,hruter3b,Kol’chugino,1:42 AM
2,amebius3c,Calachuchi,12:30 PM
4,akeher3d,Sacramento,8:19 AM
2,mmaffezzoli3e,Richibucto,7:48 PM
4,kghidini3f,Liuzuo,9:21 PM
1,cdalziel3g,Tempeh Tengah,3:26 PM
4,sgiabuzzi3h,Kinsealy-Drinan,11:45 PM
2,amerredy3i,Baimi,7:17 AM
1,cspitaro3j,Kedungdoro,8:55 PM
2,gbranca3k,Butha-Buthe,4:27 AM
4,bwinks3l,Mekarsari,3:13 PM
2,jbarnham3m,Kaliuda,6:32 AM
1,ratack3n,Xinzhaiping,2:00 AM
2,pjury3o,Tancheng,1:44 AM
1,mfaill3p,Changliang,7:02 AM
2,jhatwell3q,Hongshanzui,6:07 AM
1,msudran3r,Trảng Bom,3:26 PM
4,nbetteney3s,Nkove,1:56 PM
1,aromaynes3t,Peachland,1:29 PM
2,drushsorth3u,Babakanbandung,8:20 PM
2,hboatright3v,Sai’erlong Xiang,1:52 AM
1,itoy3w,Jocotenango,9:38 PM
3,acleft3x,Nanyaojie,10:25 PM
4,ngerling3y,Emiliano Zapata,2:43 AM
3,momullaney3z,Namangan Shahri,9:28 AM
1,rlorkin40,Tëplaya Gora,10:31 PM
3,ogretton41,Ruangwa,5:52 AM
1,abelding42,Atiquizaya,2:27 PM
2,dtremmel43,Wendo,7:25 PM
4,dcolkett44,Newton,7:13 PM
2,rdoey45,Kokshetau,7:37 AM
3,wmcanellye46,Dongtai,3:38 AM
2,garkley47,Novoshakhtinsk,10:42 AM
1,mgartside48,Kladovo,10:46 PM
4,fdeinert49,Chantal,4:34 AM
1,pbenford4a,Açucena,7:31 PM
2,mpairpoint4b,Marinha,7:01 PM
2,ereadett4c,Kinango,10:07 PM
3,rcruikshank4d,Kiyevskoye,2:21 AM
2,rsyfax4e,Kavieng,1:10 PM
2,ekiehne4f,Amsterdam-Oost,9:38 AM
2,jscotfurth4g,Huazhuang,11:12 AM
1,ebitterton4h,Ventsy,12:34 AM
4,eprendeville4i,Portão,11:19 PM
2,ccopner4j,Koceljeva,4:45 AM
2,lhale4k,Otllak,9:48 AM
2,agirardini4l,Dateng,7:40 AM
1,tbeatey4m,Faruka,8:08 PM
3,bkebbell4n,Cigaluh,12:58 PM
1,rsettle4o,Potou,10:25 PM
3,mrambaut4p,Raleigh,1:56 AM
1,agraser4q,Young America,11:02 PM
4,bpardue4r,Nikita,11:16 PM
3,herangy4s,Hecun,3:41 PM
3,enelsey4t,Xichehe,10:53 AM
1,tblatherwick4u,Lalig,6:47 PM
4,ggilvear4v,Alqueva,12:22 PM
4,mstandfield4w,Taocheng,6:24 AM
2,gcockshtt4x,Jankovec,11:36 AM
1,rholtum4y,Longhe,6:30 PM
4,croseman4z,Warmbaths,10:31 PM
4,skuhle50,Soufrière,6:01 PM
4,atempleton51,Jincheng,10:39 PM
1,rstebbings52,Īz̄eh,5:24 PM
3,tshepton53,La Cruz,1:06 PM
3,cdeane54,Tha Tako,7:41 AM
3,mspawell55,Toungo,5:24 AM
1,creynoldson56,Pointe-à-Pitre,2:20 PM
2,bfaireclough57,Afántou,11:34 PM
3,ahaquin58,Lisewo,12:01 AM
4,hhurcombe59,Faḩmah,10:56 AM
3,mhofler5a,Daugavgrīva,3:33 PM
3,gcline5b,Mobile,3:00 PM
1,astitson5c,Wentugaole,3:31 AM
1,hverrill5d,Rathdrum,6:00 PM
4,cnilles5e,Bundoc,8:46 PM
4,draggles5f,Maying,1:45 AM
4,zmaliffe5g,Asan Kumbang,4:59 AM
2,jcurless5h,Pelem,11:49 AM
3,jmckoy5i,Sanya,8:52 PM
2,gocosgra5j,Karlskrona,3:54 PM
2,jbrabant5k,Gaspra,2:44 PM
1,msealove5l,Shimorskoye,11:45 AM
3,smunford5m,Tanagara,1:28 AM
1,ttreffry5n,Salyan,3:17 PM
1,adunford5o,Raciąż,8:50 PM
2,wdoby5p,Agios Dimitrios,5:30 AM
3,wlibermore5q,Hajeom,2:21 AM
2,wsimacek5r,Jujur,11:28 PM
4,ckrishtopaittis5s,Severoural’sk,6:49 AM
2,mreffe5t,Rosa Zarate,3:50 PM
1,sgillicuddy5u,Al Hāshimīyah,9:46 PM
3,gshannon5v,Shuangxiqiao,7:57 AM
2,pskacel5w,Jianlong,5:51 AM
2,pwoodrup5x,Suisan,11:23 AM
3,bclipsham5y,Anping,2:52 PM
2,jvalder5z,Bitanjuan,3:53 PM
2,mherion60,Stockholm,5:54 AM
2,thebson61,Rio Meão,5:14 PM
2,emcgrayle62,Lazaro Cardenas,12:53 AM
3,pabby63,Quthing,9:29 AM
1,ccoytes64,Fatou,5:06 PM
3,bdunniom65,Ocongate,1:05 PM
2,dwillmont66,Sbo’o,6:44 AM
3,ecarruth67,Jaunpiebalga,1:10 PM
3,jesterbrook68,Kolkhozobod,7:44 PM
1,jmacduff69,Katyuzhanka,5:04 PM
3,tcull6a,Tianhe,1:20 PM
2,fnassi6b,Shadrinsk,8:50 PM
2,cblackly6c,Lemahputih,10:42 PM
4,loflaverty6d,Bangkalan,6:34 PM
2,ftalton6e,Taiba,3:38 AM
1,grosenkrantz6f,Dromiskin,6:02 AM
3,srollinshaw6g,Chantilly,1:11 AM
4,kgoom6h,Korosten’,8:43 PM
4,slevine6i,Aix-en-Provence,6:19 AM
4,eseiler6j,Olival,1:25 PM
2,rboutwell6k,Ceelbuur,6:48 AM
1,ckmietsch6l,Okcheon,7:09 AM
4,jcossins6m,Cibeunying,7:12 PM
4,mcoda6n,Yermolayevo,11:33 AM
2,npingston6o,Jambeyan,2:19 AM
4,mditty6p,Choroszcz,12:51 AM
1,tperrigo6q,Mulhouse,12:46 PM
3,dcattlemull6r,Zhaigang,7:12 PM
1,mgrishanin6s,Nagano-shi,1:14 AM
4,amangenet6t,Haninge,5:44 PM
4,sovett6u,Lobos,5:43 PM
3,mframe6v,Cahors,7:44 PM
4,abullan6w,San Jose,4:21 PM
3,doroan6x,Sansanné-Mango,10:48 PM
3,kbawcock6y,Yanhe,2:47 PM
2,cfricker6z,Kungsör,6:30 AM
3,ccackett70,Pore,4:34 PM
3,lsnasdell71,Sekondi-Takoradi,11:50 AM
2,mpartener72,Chayuan,4:25 AM
1,thaste73,Caidian,4:52 PM
3,cborthwick74,Sallanches,8:44 PM
4,mmcinally75,Yeşilköy,4:25 PM
2,adoddrell76,Mannheim,7:09 PM
4,klabbati77,Lonya Chico,11:11 PM
4,mportwaine78,Copa,1:38 PM
1,dmacmaster79,Martanesh,3:52 PM
1,rbuckoke7a,Çepan,4:46 AM
1,lwelford7b,Ban Phai,1:04 PM
4,jyeoman7c,Jequié,8:23 PM
1,gcolaco7d,Baytā al Fawqā,3:07 AM
2,dhazel7e,Kamárai,9:33 PM
2,dclassen7f,Villa Mercedes,4:32 PM
3,mmildmott7g,Tsibulev,1:00 PM
2,rlangdon7h,Bulangan,11:04 AM
3,dsimak7i,Ngangguk,12:14 PM
3,ghaliday7j,Rantauambacang,10:36 PM
1,rbarns7k,Straszydle,1:07 AM
4,bcassedy7l,Dongcheng,3:54 PM
1,ffinney7m,Višňové,6:16 PM
2,pelecum7n,El Charco,4:05 PM
4,nsnoxall7o,Eqbālīyeh,11:56 PM
3,afisher7p,Abaza,9:46 AM
2,bwhooley7q,Xinning,1:02 AM
2,mspeare7r,Jeremoabo,2:07 PM
1,lyesichev7s,Palopo,10:52 PM
2,jdear7t,Sydney South,1:54 AM
4,ameechan7u,Kungsbacka,3:24 PM
3,bshippey7v,Qujiang,8:41 AM
2,ldeinhardt7w,Mesa,11:56 AM
2,fmcgonagle7x,Marinilla,9:51 AM
3,hchason7y,Eastern Suburbs Mc,8:35 AM
1,khoulahan7z,Mbuji-Mayi,11:11 PM
1,hmacvagh80,Yingshouyingzi,11:23 PM
2,adavenall81,Yamaranguila,3:28 AM
3,fpaslow82,Sunja,7:05 AM
1,uvowell83,Sterling,3:53 AM
1,shicklingbottom84,Cubatão,12:49 AM
2,kcoaster85,Bailiang,3:43 AM
4,cculver86,Rybinsk,1:37 AM
4,cwikey87,Moncada,4:12 AM
2,kfeasey88,Hawassa,12:23 AM
2,jtrask89,San Cristobal,1:58 PM
2,dneles8a,Saba Yoi,6:02 PM
4,jspeechly8b,Fuxing,4:55 PM
4,eedson8c,Wang Noi,4:29 PM
3,tluxton8d,Huquan,10:59 AM
3,etrahar8e,Topi,5:45 PM
3,jlivick8f,Chipoka,4:37 PM
3,lmiko8g,Port Harcourt,9:47 AM
2,gbakhrushin8h,San Carlos,11:37 AM
3,dshieber8i,Batal,11:54 AM
3,omulran8j,Naikolan,2:58 PM
4,frentcome8k,Puerto Mayor Otaño,9:35 PM
4,croggeman8l,Kisumu,2:50 PM
1,lbrockway8m,Orhei,2:18 PM
1,zmulbery8n,Mandalt,2:25 PM
3,frubinek8o,Stęszew,1:16 AM
4,jbetty8p,Shuvakish,1:35 PM
4,ctrime8q,Szubin,1:33 PM
3,lbrackenridge8r,Rebe,6:04 AM
4,bmcdonnell8s,Carmen de Viboral,6:12 AM
4,jjose8t,Aghavnatun,9:05 PM
2,adevinn8u,Novikovo,3:29 PM
1,ybraiden8v,Castro,12:54 PM
1,rerley8w,Nanaimo,10:19 AM
2,rgoudie8x,Grande Rivière Noire,1:50 AM
2,hgargett8y,Itapemirim,12:05 PM
2,nle8z,Nový Hrozenkov,2:41 AM
2,mlepere90,Bedayutalang,3:32 PM
2,lkrzyzowski91,Metković,4:43 PM
1,lwasmer92,Molchanovo,1:07 PM
4,whavick93,Buritis,8:30 PM
4,bgow94,Robertsport,11:49 AM
4,cpepi95,São Bento,3:02 AM
3,kcaulier96,Binlod,3:01 AM
1,wbroxis97,Bagacay,1:57 PM
1,jpearl98,Finspång,6:43 PM
2,rwhitlock99,Ostroróg,1:13 AM
3,agronous9a,Boston,6:45 PM
2,kcranfield9b,Tangchijie,12:50 PM
3,kle9c,Changgang,9:06 PM
1,rbulley9d,Rana,1:04 PM
4,tbuist9e,Luzhang,4:26 AM
4,cuttley9f,Bulawayo,1:52 PM
2,wraftery9g,Tsaghkahovit,2:11 PM
3,cyair9h,Gading,10:48 PM
3,abonsall9i,Zhangxi,4:04 PM
1,apiperley9j,Krasiczyn,9:28 AM
4,lrichings9k,Uddevalla,7:54 PM
4,scorton9l,Bessonovka,3:01 AM
1,tcoppo9m,Zaraza,3:10 PM
2,palbrook9n,Warungbuah,5:22 PM
4,vhubbart9o,Nawu,7:26 PM
4,kcropton9p,Taozhuang,9:34 AM
3,tpiddock9q,Notre-Dame-de-l'Île-Perrot,4:44 AM
4,kbriereton9r,Postřelmov,6:23 AM
3,jdeverille9s,Quatá,8:02 PM
2,hlaundon9t,Skarżysko-Kamienna,11:48 AM
4,ycartmer9u,Eg,9:15 PM
2,nsavory9v,Katsuura,5:21 AM
1,bstorrock9w,Biograd na Moru,4:14 AM
2,hkryszka9x,Sattahip,10:23 PM
3,cflageul9y,Bandeirantes,9:09 AM
4,pjarrette9z,Santa Monica,9:38 PM
3,mwardeswortha0,Ciawitali,12:04 PM
2,smillwatera1,Hägersten,11:44 AM
1,mtofpika2,Guadalupe,2:00 PM
4,dzapateroa3,Manggissari,8:47 AM
1,bcampsalla4,Atimonan,5:27 AM
1,dshortana5,Padaran,2:42 PM
4,mdraiseya6,Dul’durga,8:59 AM
2,zlebourna7,Calvário,2:43 AM
2,breveya8,Escola,2:44 PM
3,lgagesa9,Nybro,1:35 AM
4,horthmannaa,La Soledad,11:57 PM
3,meaglandab,Albardón,1:52 PM
4,ekinvanac,Issad,6:21 AM
1,trothertad,Halden,4:38 AM
4,mjewksae,Sabirabad,6:58 AM
3,asivieraf,Quimper,8:19 PM
3,lkenwinag,Petro-Slavyanka,3:13 AM
4,tcawsah,Uchimaru,11:51 PM
3,ndominelliai,Kengkou,3:32 PM
1,bmcneillyaj,Montpellier,8:45 PM
4,bwheelanak,Lycksele,11:08 AM
4,cgodsafeal,Futang,9:11 PM
3,fkiehlam,Tanudan,8:52 PM
2,cblairan,Antopal’,1:08 AM
3,camiableao,Lérida,2:32 PM
2,mvasentsovap,Tursunzoda,7:56 PM
3,rplanqueaq,Teluksantong,2:02 PM
3,edibenar,Gagarin,2:09 AM
1,ecopemanas,Zhangdun,2:27 AM
4,bfarmiloeat,Ponte Nova,11:10 PM
1,msprossonau,San Carlos,3:53 AM
1,fmoxleyav,Ludvika,12:04 AM
4,stolomeiaw,Timrå,10:03 AM
4,tkhominax,Vojnić,9:26 AM
2,rinworthay,Chipyela,10:58 AM
4,eproudlockaz,Krasnogorodskoye,12:38 AM
2,hcrowdsonb0,Huyuan,5:21 PM
1,lmeakingb1,Panyuran,10:35 PM
3,aferruccib2,Sakule,4:54 PM
2,ndowreyb3,La Concepción,7:58 PM
4,eparadineb4,Ar Rawḑah,9:49 PM
2,aheatherb5,Riangblolong,6:02 AM
2,hsendleyb6,Banggel,9:26 AM
3,lleekeb7,Fatuhilik,5:30 PM
3,gingolottib8,Primošten,7:21 AM
3,aloveladyb9,Oemofa,2:31 PM
1,ekerssba,Halton,11:27 PM
1,gbridlebb,Kalemie,11:21 PM
1,ecleimentbc,Nong Bua Lamphu,1:47 PM
2,nchalicebd,Sumurber,11:03 PM
2,efeldmusbe,Pristen’,4:04 AM
2,ppenberthybf,Bizana,10:26 AM
2,bboytonbg,Qukuhu,2:58 AM
1,wlackingtonbh,Qinglin,9:19 AM
2,kshackesbybi,Wailebe,2:20 PM
2,tkempbj,Czyżowice,2:53 PM
1,rsavarybk,Ndélé,12:03 AM
4,fjakoubecbl,Surcubamba,11:42 AM
3,rosmondbm,Manabo,1:01 AM
4,jvilebn,Leigao,5:18 PM
2,elearmonthbo,Loučovice,6:03 PM
4,rgreenallbp,Tutut,10:07 AM
3,fduinbletonbq,Ādaži,9:10 PM
2,vollebr,Mohammedia,11:13 PM
4,adambrogiobs,Strängnäs,12:26 AM
4,bgaulerbt,Xinhua,9:52 AM
2,ljandourekbu,Pakisaji,6:58 PM
1,nchurchingbv,Xinglong,3:39 AM
2,ycobellobw,Bolaoit,4:47 PM
2,bhitscherbx,Chaves,5:44 AM
2,jyerillby,Lagangilang,9:06 PM
4,agodrichbz,Igaraçu do Tietê,9:44 PM
3,ddearellc0,Ponce,7:36 PM
4,swestripc1,Polonne,3:13 PM
4,lgleasanec2,Manūjān,9:27 AM
3,kosannec3,Namysłów,6:37 PM
3,dfreemantlec4,Sepulu,12:42 PM
4,tcharnickc5,Karviná,8:01 PM
1,wkinchinc6,Zhongling,11:01 PM
2,dlissandrec7,Lamphun,2:08 AM
3,kdwightc8,Huansheng,8:06 AM
2,kbeetlestonec9,Miki,12:48 PM
1,nconnarca,Shanghu,3:21 AM
3,fmcquiecb,Gonghe,2:46 PM
2,cmeldoncc,Hovorany,4:47 PM
3,sdunningcd,Al Ḩajar al Aswad,2:53 PM
4,bpachtce,Boden,11:34 PM
3,mpringourcf,Järfälla,3:37 PM
4,lbeneycg,Pinayagan Norte,4:47 PM
2,bendch,Santa Rosa de Cabal,12:15 AM
4,naldingtonci,Parreira,11:07 AM
2,tpennigarcj,Guazapa,4:30 AM
4,lthemannck,Obanazawa,5:14 AM
1,fkrellecl,Novovoronezh,1:52 PM
4,earingtoncm,Nikulino,9:14 PM
4,ggoultercn,Sanshengyuan,9:30 PM
4,trubensco,Ljubešćica,2:57 AM
3,gcoltencp,Arevshat,8:37 PM
1,memtagecq,Da Nang,2:55 PM
4,mfellowcr,Wukang,7:26 AM
1,pwolfercs,Ovsyanka,2:28 PM
3,edalgetyct,Changning,6:56 AM
4,bstouthercu,Gereykhanovskoye,5:53 PM
2,dstorkescv,Morón,8:22 PM
3,dgainescw,København,2:56 PM
3,ctolputtcx,Gigant,12:54 PM
4,cgolbycy,Nässjö,4:20 AM
3,atierycz,Qiakeri,3:32 AM
1,rodelld0,Stockholm,3:41 AM
3,ablackwayd1,Wujian,2:42 PM
2,vharryd2,Ponte,5:54 AM
2,aringhamd3,Maguling,3:57 AM
1,abreawoodd4,Capulaan,2:29 AM
1,hkynvind5,Blawi,6:48 AM
2,rmulcahyd6,Reinaldes,12:51 AM
3,cpayled7,Dongzhaogezhuang,1:02 PM
4,gschildd8,Ondoy,1:02 PM
2,bcammocked9,Cerro Blanco,11:26 PM
4,dschultheissda,Bāniyās,3:36 PM
3,ddidb,Pulau Tiga,8:35 PM
1,atrumbledc,Przesmyki,10:12 AM
3,bteodoridd,Cojata,8:06 PM
3,ehaywardde,Yangshuo,4:45 PM
3,dsharpedf,Feitoria,2:44 PM
4,clawliedg,Askersund,6:45 PM
2,mvarlowdh,El Charco,1:32 PM
4,rviolletdi,Vale de Figueira,11:19 AM
3,aromagosadj,Tirana,2:44 AM
2,dmasdindk,Zoushi,11:16 AM
1,ataplowdl,Xinxu,1:57 PM
3,kiiannonedm,Kogota,9:58 AM
4,abroundn,Irará,1:29 PM
4,brymilldo,Tögrög,7:56 AM
2,mgerattdp,Aracati,4:01 PM
1,jconwaydq,Luleå,3:46 AM
4,psmidmoordr,Khondāb,10:56 AM
1,yrousds,Guacara,2:18 AM
1,ncarsondt,Takanosu,8:04 PM
2,dduhamdu,Foundiougne,11:31 AM
1,ctrenowethdv,Descalvado,12:49 AM
1,tmendeldw,Zainsk,4:18 PM
3,cmcluckydx,Quezalguaque,10:09 AM
1,tleningdy,Jiyukou,3:12 PM
2,sreussdz,Lagodekhi,12:51 PM
4,skelceye0,Sishiba,4:21 PM
3,afilipputtie1,Totora,1:10 PM
2,mketchelle2,Xiadian,1:36 PM
1,plakine3,Vaitape,1:50 PM
2,beckharde4,Hukvaldy,8:48 PM
3,hskippe5,General La Madrid,1:46 AM
2,kgreenstede6,Villaguay,9:19 AM
1,gpottee7,Ledok,7:24 PM
1,hhumphriese8,Dawan,11:16 PM
3,ccollecotte9,Jiangjing,8:18 AM
3,vcorringtonea,Sarilhos Grandes,8:53 PM
4,pellameb,Richky,11:30 AM
1,kmerrillec,Mpraeso,1:48 AM
1,jperullied,Ankazoabo,8:31 AM
3,ldungeeee,Burqah,11:31 PM
3,mgoodboddyef,Gubengairlangga,1:29 PM
1,lantognettieg,Zhongxiang,5:01 AM
3,vgoudgeeh,Shimen,10:24 AM
2,dbonhomeei,Lamawalang,3:35 PM
4,gcislandej,Baldone,6:31 AM
3,ljeandelek,Milton,1:05 PM
2,talgerel,Kangmei,4:11 AM
2,gspellessyem,Narail,1:46 AM
3,cgilbanksen,Diavatá,3:05 AM
2,aormstoneo,Opaka,12:54 AM
1,dcoulterep,Taraju,3:28 PM
1,lashbeeq,Viale,3:54 AM
4,rashtoner,Liuqu,7:42 AM
1,sbemmentes,Tilmi,4:10 AM
3,lhapperet,Ngala,7:27 PM
4,yenevoldeu,Tabālah,6:07 PM
3,ltweedyev,Buraen,2:37 AM
1,mvaunew,Jinbo,5:21 AM
1,cdearthex,Stettler,10:18 PM
2,efelthamey,Tramandaí,6:32 PM
2,hvedekhinez,Meia Via,2:01 PM
1,nmacguffogf0,Cordova,7:01 PM
3,raiskriggf1,Midland,4:51 PM
1,gbrownhillf2,Morez,7:27 PM
3,dirnisf3,Kugesi,5:49 PM
4,rstandonf4,Cigaras,5:33 PM
3,aelcumf5,Caen,3:45 AM
3,mcutforthf6,Vista Hermosa,2:56 AM
1,cglavef7,Huizhou,4:56 PM
3,cburkillf8,Mundri,4:35 AM
4,tferiaf9,Reitoca,3:02 AM
4,vhowfa,Edéa,7:27 AM
2,sdenisyevfb,Hecun,10:47 PM
2,aelizabethfc,Sebu,11:10 PM
3,ataskerfd,Yufa,5:28 PM
2,mdallewaterfe,Lemahputih,1:46 PM
4,gmccrumff,Cibinong,6:07 AM
2,ttenantfg,Elbasan,6:56 PM
2,spaulischfh,Maras,11:02 AM
2,wlakeyfi,San Pedro,5:03 AM
3,psellickfj,Longwood,11:17 PM
1,ssnalomfk,Spirovo,8:13 AM
4,smiskenfl,Rogongon,6:27 PM
1,tlakefm,Viimsi,2:15 AM
1,wcrasswellerfn,Ashibetsu,7:52 PM
3,dmckewfo,São Pedro do Estoril,12:04 AM
3,bjosilevichfp,Floreşti,5:40 AM
4,rficklingfq,Ketapang,6:00 AM
4,htappinfr,Łapczyca,11:51 PM
3,medgeworthfs,Heshan,4:26 AM
2,amcdonnellft,Kobylanka,8:17 PM
2,rmcneicefu,Amapala,1:15 AM
2,apuryfv,Pokrovskoye-Streshnëvo,10:11 AM
3,bmongenotfw,Campamento,10:02 PM
4,jdehnfx,Xianghua,4:02 AM
2,middonsfy,Joyabaj,9:00 AM
2,ggunthorpfz,Lantang,3:16 PM
2,dtassakerg0,Uromi,8:34 AM
3,gcharrettg1,Bordeaux,7:57 AM
2,creinersg2,Cabinda,5:49 PM
4,sghidottig3,Broska,6:37 PM
2,bextilg4,Portland,11:23 PM
3,sbeng5,Tubod,3:57 PM
3,mbubbingsg6,Prey Veng,5:24 PM
1,delmerg7,Glagahdowo,12:14 AM
2,drustichg8,Limbuhan,11:05 PM
1,fsimioneg9,Bang Phlat,2:58 AM
4,cnajafianga,Venlo,1:22 PM
4,aharsegb,Kitchener,3:55 AM
2,gartingc,Dongkeng,8:18 AM
4,starbardgd,Gontar,6:28 PM
3,cissacoffge,Jiulong,8:46 PM
1,aolczakgf,Darungan,10:16 PM
1,imilillogg,Yumani,2:17 AM
3,cbaudtsgh,Kibondo,4:15 AM
3,gdolesgi,Robīt,1:39 AM
4,laselgj,Las Vegas,2:27 PM
3,pbrickettgk,San Vicente,10:32 PM
3,acaygillgl,Polýkastro,11:16 AM
3,mcaskeygm,Azua,4:10 PM
3,jbirdgn,Yong’an,4:27 AM
2,rlangshawgo,Bulupayung,7:46 PM
1,mibbetsongp,Noyon,5:42 AM
4,ksandwithgq,Kojagete,8:45 PM
2,awildinggr,Ayna,2:28 AM
3,aminardsgs,Baleagung,9:51 AM
3,mtutchellgt,Palestina de los Altos,12:57 PM
2,esouthwoodgu,Bremen,3:51 PM
3,acattongv,Montería,4:24 AM
4,nkeerigw,Al Ḩumaydāt,7:25 PM
4,bcossellgx,Lesichevo,3:08 AM
1,rpenrithgy,Casais,8:55 AM
4,vsudrangz,Cicayur,7:49 PM
2,galexandreh0,Philadelphia,9:25 PM
4,hdeeksh1,Taipingxu,5:28 AM
3,oarnasonh2,Danxi,6:41 PM
1,raldersleyh3,Shakhun’ya,6:26 AM
1,jwhyborneh4,Stockholm,12:39 PM
